fecha;turno;categoria;maquina;gramaje;ancho;peso_kg;metros_lineales;arranque;rangos;ajustes_de_maquina;merma_kg;merma_mts
16/02/2026;A;BOPP/PP Cast/;SIMPLEX 2;72.38;615;1672;35787;38;0;0;38;853.67
16/02/2026;A;BOPP/COEX/;SUPER SIMPLEX ;61.26;900;2237;58932;55;0;0;55;997.64
16/02/2026;B;BOPP/COEX/;SUPER SIMPLEX ;61.26;900;2510;60997;15;0;0;15;272.08
16/02/2026;B;BOPP/Metalizado/;SIMPLEX 2;36;1080;4749;109124;48;0;0;48;1234.57
17/02/2026;A;BOPP/COEX/;SUPER SIMPLEX ;65.88;1150;562;10288;22;0;0;22;290.37
17/02/2026;A;BOPP/COEX/;SUPER SIMPLEX ;65.88;1150;2316;41809;25.8;0;0;25.8;340.53
17/02/2026;A;BOPP/COEX/;SUPER SIMPLEX ;65.88;1150;899;16426;9;0;0;9;118.79
17/02/2026;A;BOPP/Metalizado/;SIMPLEX 2;36;1080;1310;30563;29;0;0;29;745.88
17/02/2026;A;Poliester/COEX/;SIMPLEX 2;122.65;882;684;8101;24;26.5;0;50.5;466.83
17/02/2026;B;BOPP/COEX/;SUPER SIMPLEX ;61.26;910;2247;57978;47.2;0;0;47.2;846.75
17/02/2026;B;BOPP/COEX/;SUPER SIMPLEX ;65.88;1150;297;5464;9;0;0;9;118.79
17/02/2026;B;BOPP/COEX/;SUPER SIMPLEX ;65.88;1150;422;7732;16;0;0;16;211.18
17/02/2026;B;BOPP/Metalizado/;SIMPLEX 2;45.2;900;124;28278;32;0;0;32;786.63
17/02/2026;B;Saranizado/COEX/;SIMPLEX 2;67.65;825;92;1584;6;0;0;6;107.5
17/02/2026;B;Saranizado/COEX/;SIMPLEX 2;77.44;825;310;4712;22;0;0;22;344.34
18/02/2026;A;BOPP/COEX/;SUPER SIMPLEX ;61.26;910;2803;72136;39;0;0;39;699.64
18/02/2026;B;BOPP/Metalizado/;SIMPLEX 2;45.2;900;1761;39894;18;0;0;18;442.48
18/02/2026;B;BOPP/COEX/;SIMPLEX 2;52.08;960;2509;47050;39;0;0;39;780.04
18/02/2026;B;BOPP/COEX/;SUPER SIMPLEX ;61.26;910;1434;36967;20;0;0;20;358.79
18/02/2026;B;BOPP/COEX/;SUPER SIMPLEX ;70.08;710;1058;27296;22;0;0;22;442.15
19/02/2026;A;BOPP/Metalizado/;SUPER SIMPLEX ;27.2;1080;791;23693;12;0;0;12;408.5
19/02/2026;A;BOPP/COEX/;SUPER SIMPLEX ;61.26;1150;1291;25998;38;0;0;38;539.43
23/02/2026;A;BOPP/Metalizado/;SIMPLEX 2;31.7;1078;1875;49261;32;0;0;32;936.42
23/02/2026;B;BOPP/Metalizado/;SIMPLEX 2;31.7;1078;1328;34709;23;0;0;23;673.05
23/02/2026;B;BOPP/Metalizado/;SIMPLEX 2;31.6;900;1423;45735;18;0;0;18;632.91
23/02/2026;B;BOPP/COEX/;SUPER SIMPLEX ;65.88;1150;3740;68114;60;0;0;60;791.93
23/02/2026;B;BOPP/Metalizado/;COMBI;27.2;1040;1958;60375;35;0;0;35;1237.27
24/02/2026;A;BOPP/COEX/;SUPER SIMPLEX ;65.88;1150;631;11532;6.8;0;0;6.8;89.75
24/02/2026;A;BOPP/COEX/;SUPER SIMPLEX ;65.88;1150;372;6803;7.5;0;0;7.5;98.99
24/02/2026;A;BOPP/COEX/;SUPER SIMPLEX ;62.72;960;644;10164;5;0;0;5;83.03
24/02/2026;A;BOPP/COEX/;SUPER SIMPLEX ;62.72;960;591;9149;10;0;10;20;332.14
24/02/2026;A;BOPP/COEX/;SIMPLEX 2;90.58;882;71;897;28.6;0;28.6;57.2;716.01
24/02/2026;A;BOPP/COEX/;SIMPLEX 2;90.68;960;423;5058;20;0;40;60;689.27
24/02/2026;A;BOPP/Metalizado/;SIMPLEX 2;31.6;900;461;14886;11;0;0;11;386.78
24/02/2026;B;BOPP/Metalizado/;SIMPLEX 2;31.6;900;1075;34894;13;0;0;13;457.1
24/02/2026;B;BOPP/PP Cast/;SIMPLEX 2;72.68;615;369;7959;11;0;0;11;246.09
24/02/2026;B;BOPP/Metalizado/;SIMPLEX 2;31.6;1080;588;15614;16;18;0;34;996.25
24/02/2026;B;BOPP/Metalizado/;SIMPLEX 2;31.6;1080;765;20389;14;0;0;14;410.22
24/02/2026;B;BOPP/COEX/;SUPER SIMPLEX ;62.92;800;598;11502;19;0;0;19;377.43
24/02/2026;B;BOPP/Metalizado/;COMBI;27.2;1040;1116;34587;23;0;0;23;813.07
24/02/2026;B;BOPP/Metalizado/;COMBI;27.4;960;1920;63604;17;0;0;17;646.29
25/02/2026;A;BOPP/Metalizado/;SIMPLEX 2;31.6;1080;3817;101193;19;0;0;19;556.73
25/02/2026;B;BOPP/Metalizado/;SIMPLEX 2;31.6;1080;2136;56592;27;0;0;27;791.14
25/02/2026;B;BOPP/BOPP/;SIMPLEX 2;54.4;950;345;6300;18;0;0;18;348.3
25/02/2026;B;BOPP/Metalizado/;SIMPLEX 2;31.6;1080;762;21580;38;0;0;38;1113.46
25/02/2026;B;BOPP/Metalizado/;SUPER SIMPLEX ;31.7;960;1173;34074;14;0;0;14;460.04
25/02/2026;B;BOPP/Metalizado/;COMBI;27.4;960;1891;62237;18;0;0;18;684.31
25/02/2026;B;BOPP/Metalizado/;COMBI;27.4;960;966;32915;12;0;0;12;456.2
26/02/2026;A;BOPP/COEX/;SUPER SIMPLEX ;61.26;910;1035;25371;13;0;20;33;592
26/02/2026;A;BOPP/PP Cast/;SIMPLEX 2;49.4;1250;331;7216;15;0;0;15;242.91
26/02/2026;A;BOPP/Metalizado/;SIMPLEX 2;28.5;860;452;17561;20;0;0;20;815.99
26/02/2026;B;BOPP/Metalizado/;SIMPLEX 2;28.5;860;241;9165;8;0;0;8;326.4
26/02/2026;B;BOPP/Metalizado/;SUPER SIMPLEX ;31.7;1078;3225;85719;28;0;0;28;819.37
26/02/2026;B;BOPP/Metalizado/;COMBI;27.4;960;2915;98899;22;0;0;22;836.37
27/02/2026;A;BOPP/Metalizado/;COMBI;27.4;960;3492;119778;10;0;0;10;380.17
27/02/2026;A;BOPP/Metalizado/;SUPER SIMPLEX ;31.7;1078;3201;83929;36;0;0;36;1053.48
2/03/2026;B;BOPP/Metalizado/;SUPER SIMPLEX ;27.4;960;3407;118477;7;0;27;34;1292.58
2/03/2026;B;BOPP/Metalizado/;SIMPLEX 2;45.2;900;2158;49247;23;0;0;23;565.39
3/03/2026;A;BOPP/Metalizado/;SIMPLEX 2;45.2;900;1671;38238;23;0;0;23;565.39
3/03/2026;A;BOPP/Metalizado/;SUPER SIMPLEX ;27.4;960;473;16565;14;0;0;14;532.24
3/03/2026;A;BOPP/Metalizado/;SUPER SIMPLEX ;61.26;910;557;14211;12;0;0;12;215.27
3/03/2026;A;BOPP/Metalizado/;SUPER SIMPLEX ;61.26;910;514;13208;12;0;0;12;215.27
3/03/2026;A;BOPP/Metalizado/;SUPER SIMPLEX ;65.88;1150;482;8781;12;0;0;12;158.39
3/03/2026;A;BOPP/Metalizado/;COMBI;65.89;882;81;1500;6;0;0;6;103.24
3/03/2026;B;BOPP/Metalizado/;SUPER SIMPLEX ;27.4;960;3443;120121;6.2;0;0;6.2;235.71
3/03/2026;B;BOPP/PP Cast/;SIMPLEX 2;62.5;510;398;11582;5;0;0;5;156.86
3/03/2026;B;BOPP/PP Cast/;SIMPLEX 2;62.5;510;385;11316;8;0;0;8;250.98
3/03/2026;B;BOPP/PP Cast/;SIMPLEX 2;62.5;510;629;18233;12;0;0;12;376.47
4/03/2026;A;BOPP/Metalizado/;SIMPLEX 2;36;1080;2116;48326;39;0;0;39;1003.09
4/03/2026;A;BOPP/Metalizado/;COMBI;31.6;900;1256;39830;10;0;0;10;351.62
4/03/2026;B;BOPP/Metalizado/;COMBI;45.2;900;4791;110503;10;0;0;10;245.82
4/03/2026;B;BOPP/Metalizado/;SUPER SIMPLEX ;45.2;900;4737;109193;20;0;0;20;491.64
4/03/2026;B;BOPP/Metalizado/;SIMPLEX 2;36;1080;1064;24751;13;0;0;13;334.36
4/03/2026;B;BOPP/PP Cast/;SIMPLEX 2;72.68;615;935;18082;14;0;0;14;313.21
5/03/2026;A;BOPP/PP Cast/;SIMPLEX 2;72.68;615;716;13856;10;0;0;10;223.72
5/03/2026;A;BOPP/PP Cast/;SIMPLEX 2;62.7;710;453;9522;12;0;0;12;269.56
5/03/2026;A;BOPP/COEX/;SIMPLEX 2;70.08;630;235;11140;10;0;0;10;226.5
5/03/2026;A;BOPP/Metalizado/;SUPER SIMPLEX ;27.4;960;1856;63670;17;0;0;17;646.29
5/03/2026;A;BOPP/Metalizado/;SUPER SIMPLEX ;45.38;1080;1829;34692;18;0;0;18;367.27
6/03/2026;A;BOPP/Metalizado/;SIMPLEX 2;36;1080;2094;48339;22;0;0;22;565.84
6/03/2026;A;BOPP/Metalizado/;SUPER SIMPLEX ;27.2;1040;897;27717;20;0;0;20;707.01
6/03/2026;A;BOPP/COEX/;SUPER SIMPLEX ;70.08;710;9;318;8;0;0;8;160.78
6/03/2026;A;BOPP/Metalizado/;COMBI;31.6;900;2979;94729;24;0;0;24;843.88
9/03/2026;B;Poliester/COEX/;SIMPLEX 2;120.18;665;747;8883;47;0;0;47;588.1
9/03/2026;B;BOPP/PP Cast/;SIMPLEX 2;120.18;665;327;3928;13;35;0;48;600.61
9/03/2026;B;BOPP/PP Cast/;SIMPLEX 2;72.38;741;1124;;29;0;0;29;540.71
9/03/2026;B;BOPP/Metalizado/;COMBI;27.2;1080;1036;30647;10;0;0;10;340.41
9/03/2026;B;BOPP/Metalizado/;COMBI;27.2;1080;536;15996;13;0;0;13;442.54
9/03/2026;B;BOPP/Metalizado/;SUPER SIMPLEX ;31.6;1080;3116;80944;35;0;0;35;1025.55
10/03/2026;A;BOPP/Metalizado/;SUPER SIMPLEX ;70.08;1040;874;15244;9.4;0;11;20.4;279.9
11/06/2026;A;BOPP/Metalizado/;SUPER SIMPLEX ;31.7;1078;2303;59959;8.4;0;0;8.4;245.81
11/03/2026;A;BOPP/Metalizado/;SIMPLEX 2;31.6;1080;2147;56299;18;0;20;38;1113.46
11/03/2026;B;BOPP/PP Cast/;SIMPLEX 2;62.5;510;567;15740;37;16;0;53;1662.75
11/03/2026;B;BOPP/PP Cast/;SIMPLEX 2;72.3;741;377;6841;10;0;0;10;186.66
11/03/2026;B;BOPP/Metalizado/;SIMPLEX 2;45.38;1080;1014;19077;17;0;0;17;346.87
11/03/2026;B;BOPP/Metalizado/;SUPER SIMPLEX ;31.7;1078;3142;81952;46;0;0;46;1346.11
12/03/2026;A;BOPP/Metalizado/;SUPER SIMPLEX ;31.7;1078;1317;34149;6.4;0;10;16.4;479.92
12/03/2026;A;BOPP/Metalizado/;SUPER SIMPLEX ;27.2;1080;539;15379;7;0;14;21;714.87
12/03/2026;A;BOPP/Metalizado/;SUPER SIMPLEX ;49.3;950;398;9165;10.4;0;21;31.4;670.44
12/03/2026;B;BOPP/Metalizado/;SIMPLEX 2;45.38;1080;684;12879;17;0;0;17;346.87
12/03/2026;B;BOPP/Metalizado/;SIMPLEX 2;28.5;860;848;31304;20;0;0;20;815.99
12/03/2026;B;BOPP/Metalizado/;SUPER SIMPLEX ;27.2;1040;1243;37932;18;0;0;18;636.31
12/03/2026;B;BOPP/Metalizado/;SUPER SIMPLEX ;31.6;1080;559;14726;7;0;0;7;205.11
12/03/2026;B;BOPP/Metalizado/;SUPER SIMPLEX ;31.6;1080;93;2523;9;0;0;9;263.71
12/03/2026;B;BOPP/Metalizado/;COMBI;31.6;900;2994;95955;23;0;0;23;808.72
13/03/2026;A;BOPP/Metalizado/;COMBI;31.6;900;2366;75924;10;0;0;10;351.62
13/03/2026;A;BOPP/Metalizado/;SUPER SIMPLEX ;31.6;900;2482;78075;10.2;0;0;10.2;358.65
13/03/2026;A;BOPP/Metalizado/;SIMPLEX 2;28.5;860;1353;50838;16;0;0;16;652.79
13/03/2026;B;BOPP/Metalizado/;SIMPLEX 2;28.5;860;1296;48561;27;0;0;27;1101.59
13/03/2026;B;Poliester/COEX/;SUPER SIMPLEX ;121.78;630;312;4572;14;0;0;14;182.48
13/03/2026;B;Poliester/COEX/;SUPER SIMPLEX ;121.78;630;344;5121;14;0;0;14;182.48
13/03/2026;B;BOPP/Metalizado/;COMBI;31.6;900;2366;75519;16;0;0;16;562.59
13/03/2026;B;BOPP/Metalizado/;SUPER SIMPLEX ;31.6;900;1468;46698;20;0;0;20;703.23
16/03/2026;A;BOPP/PP Cast/;SIMPLEX 2;63;900;1070;17913;21;0;0;21;370.37
16/03/2026;A;BOPP/PP Cast/;SIMPLEX 2;63;900;2105;35336;41;0;0;41;723.1
16/03/2026;B;BOPP/Metalizado/;SUPER SIMPLEX ;31.6;900;1183;36685;7;0;25;32;1125.18
16/03/2026;B;BOPP/PP Cast/;SIMPLEX 2;63;900;2025;34452;14;0;0;14;246.91
16/03/2026;B;BOPP/Metalizado/;SIMPLEX 2;31.7;1078;1031;26905;14;0;0;14;409.68
17/03/2026;A;BOPP/Metalizado/;SIMPLEX 2;31.6;1080;1038;27064;26;0;0;26;761.84
17/03/2026;A;BOPP/COEX/;SIMPLEX 2;52.08;960;2349;43772;29;0;0;29;580.03
17/03/2026;A;BOPP/Metalizado/;SUPER SIMPLEX ;31.6;900;2966;93092;24;0;0;24;843.88
17/03/2026;B;BOPP/Metalizado/;SUPER SIMPLEX ;45.3;1080;1553;28891;14.2;0;8;22.2;453.77
17/03/2026;B;BOPP/COEX/;SIMPLEX 2;52.08;960;2783;51097;22;0;0;22;440.02
18/03/2026;A;BOPP/Metalizado/;SIMPLEX 2;28.4;800;1423;51389;28;0;0;28;1232.39
18/03/2026;A;BOPP/Metalizado/;SUPER SIMPLEX ;31.6;900;2047;64611;44;0;0;44;1547.12
18/03/2026;B;BOPP/Metalizado/;SUPER SIMPLEX ;31.6;900;4073;125458;6;0;46;52;1828.41
18/03/2026;B;BOPP/Metalizado/;SIMPLEX 2;28.4;800;1142;41761;6;0;0;6;264.08
18/03/2026;B;Saranizado/COEX/;SIMPLEX 2;77.44;650;290;5548;6;0;0;6;119.2
18/03/2026;B;BOPP/Metalizado/;SIMPLEX 2;28.4;800;201;7394;16;0;0;16;704.23
19/03/2026;A;Poliester/COEX/;SIMPLEX 2;120.18;665;411;4868;25;25;0;50;625.64
19/03/2026;A;BOPP/PP Cast/;SIMPLEX 2;62.5;510;266;7861;15;0;0;15;470.59
19/03/2026;A;BOPP/Metalizado/;SUPER SIMPLEX ;;;2448;77147;28;0;0;28;0
19/03/2026;B;BOPP/Metalizado/;SUPER SIMPLEX ;;;840;19203;7;0;0;7;0
19/03/2026;B;BOPP/Metalizado/;SUPER SIMPLEX ;;;1194;14115;3;0;0;3;0
19/03/2026;B;BOPP/Metalizado/;SIMPLEX 2;;;3042;66397;24;0;0;24;0
